text,base,type,case,number,gender,tense,voice,person
закінченням,закінчення,noun,instrumental,singular,neuter,,,
закликаю,закликати,verb,,singular,feminine,present,active,first
закликаю,закликати,verb,,singular,masculine,present,active,first
залишимо,залишити,verb,,plural,feminine,future,active,first
залишимо,залишити,verb,,plural,masculine,future,active,first
Запросив,запросити,verb,,singular,masculine,past,active,first
Запросив,запросити,verb,,singular,masculine,past,active,second
Запросив,запросити,verb,,singular,masculine,past,active,third
звільнення,звільнення,noun,accusative,plural,neuter,,,
звільнення,звільнення,noun,accusative,singular,neuter,,,
звільнення,звільнення,noun,genitive,singular,neuter,,,
звільнення,звільнення,noun,nominative,plural,neuter,,,
звільнення,звільнення,noun,nominative,singular,neuter,,,
звільнення,звільнення,noun,vocative,plural,neuter,,,
звільнення,звільнення,noun,vocative,singular,neuter,,,
зібратися,зібратися,verb,,singular,neuter,infinitive,active,third
і,і,conjunction,,,,,,
І,і,conjunction,,,,,,
її,вона,pronoun,accusative,singular,feminine,,,
її,вона,pronoun,genitive,singular,feminine,,,
інвестуємо,інвестувати,verb,,plural,feminine,future,active,first
інвестуємо,інвестувати,verb,,plural,feminine,present,active,first
інвестуємо,інвестувати,verb,,plural,masculine,future,active,first
інвестуємо,інвестувати,verb,,plural,masculine,present,active,first
інвестуємо,інвестувати,verb,,plural,neuter,future,active,first
інвестуємо,інвестувати,verb,,plural,neuter,present,active,first
інтересах,інтерес,noun,locative,plural,masculine,,,
інфраструктурних,інфраструктурний,adjective,accusative,plural,feminine,,,
інфраструктурних,інфраструктурний,adjective,accusative,plural,masculine,,,
інфраструктурних,інфраструктурний,adjective,accusative,plural,neuter,,,
інфраструктурних,інфраструктурний,adjective,genitive,plural,feminine,,,
інфраструктурних,інфраструктурний,adjective,genitive,plural,masculine,,,
інфраструктурних,інфраструктурний,adjective,genitive,plural,neuter,,,
інфраструктурних,інфраструктурний,adjective,locative,plural,feminine,,,
інфраструктурних,інфраструктурний,adjective,locative,plural,masculine,,,
інфраструктурних,інфраструктурний,adjective,locative,plural,neuter,,,
інцидент,інцидент,noun,nominative,singular,masculine,,,
їхнього,їхній,pronoun,accusative,singular,masculine,,,
їхнього,їхній,pronoun,genitive,singular,masculine,,,
їхнього,їхній,pronoun,genitive,singular,neuter,,,
й,й,conjunction,,,,,,
країн-учасниць,країна-учасниця,noun,accusative,plural,feminine,,,
країн,країна,noun,genitive,plural,feminine,,,
Криму,Крим,noun,dative,singular,masculine,,,
Криму,Крим,noun,genitive,singular,masculine,,,
Криму,Крим,noun,locative,singular,masculine,,,
лідерів,лідер,noun,accusative,plural,masculine,,,
Макрона,Макрон,noun,accusative,singular,masculine,,,
Макрона,Макрон,noun,genitive,singular,masculine,,,
Маріуполі,Маріуполь,noun,locative,singular,masculine,,,
Меркель,Меркель,noun,accusative,singular,feminine,,,
Меркель,Меркель,noun,genitive,singular,feminine,,,
Меркель,Меркель,noun,nominative,singular,feminine,,,
Меркель,Меркель,noun,nominative,singular,masculine,,,
ми,ми,pronoun,nominative,plural,feminine,,,
Ми,ми,pronoun,nominative,plural,feminine,,,
ми,ми,pronoun,nominative,plural,masculine,,,
Ми,ми,pronoun,nominative,plural,masculine,,,
мир,мир,noun,accusative,singular,masculine,,,
мир,мир,noun,nominative,singular,masculine,,,
мирам,мир,noun,dative,plural,masculine,,,
мирами,мир,noun,instrumental,plural,masculine,,,
мирах,мир,noun,locative,plural,masculine,,,
мирах,мир,noun,locative,plural,masculine,,,
мире,мир,noun,vocative,singular,masculine,,,
мири,мир,noun,accusative,plural,masculine,,,
мири,мир,noun,nominative,plural,masculine,,,
мири,мир,noun,vocative,plural,masculine,,,
мирі,мир,noun,locative,singular,masculine,,,
мирів,мир,noun,genitive,plural,masculine,,,
мирною,єдиний,adjective,instrumental,singular,feminine,,,
мирові,мир,noun,dative,singular,masculine,,,
миром,мир,noun,instrumental,singular,masculine,,,
миру,мир,noun,dative,singular,masculine,,,
миру,мир,noun,genitive,singular,masculine,,,
миру,мир,noun,locative,singular,masculine,,,
міжнародному,міжнародний,adjective,dative,singular,masculine,,,
міжнародному,міжнародний,adjective,dative,singular,neuter,,,
міжнародному,міжнародний,adjective,locative,singular,masculine,,,
міжнародному,міжнародний,adjective,locative,singular,neuter,,,
мої,мій,pronoun,accusative,plural,feminine,,,
Мої,мій,pronoun,accusative,plural,feminine,,,
мої,мій,pronoun,accusative,plural,masculine,,,
Мої,мій,pronoun,accusative,plural,masculine,,,
мої,мій,pronoun,accusative,plural,neuter,,,
Мої,мій,pronoun,accusative,plural,neuter,,,
мої,мій,pronoun,nominative,plural,feminine,,,
Мої,мій,pronoun,nominative,plural,feminine,,,
мої,мій,pronoun,nominative,plural,masculine,,,
Мої,мій,pronoun,nominative,plural,masculine,,,
мої,мій,pronoun,nominative,plural,neuter,,,
Мої,мій,pronoun,nominative,plural,neuter,,,
моряків,моряк,noun,accusative,plural,masculine,,,
моряків,моряк,noun,genitive,plural,masculine,,,
на,на,preposition,,,,,,
над,над,preposition,,,,,,
надалі,надалі,adverb,,,,,,
наступні,наступний,adjective,accusative,plural,feminine,,,
наступні,наступний,adjective,accusative,plural,masculine,,,
наступні,наступний,adjective,accusative,plural,neuter,,,
наступні,наступний,adjective,nominative,plural,feminine,,,
наступні,наступний,adjective,nominative,plural,masculine,,,
наступні,наступний,adjective,nominative,plural,neuter,,,
наш,наш,pronoun,accusative,singular,masculine,,,
наш,наш,pronoun,nominative,singular,masculine,,,
наша,наш,pronoun,nominative,singular,feminine,,,
наше,наш,pronoun,accusative,singular,neuter,,,
наше,наш,pronoun,nominative,singular,neuter,,,
нашим,наш,pronoun,dative,plural,feminine,,,
нашим,наш,pronoun,dative,plural,masculine,,,
нашим,наш,pronoun,dative,plural,neuter,,,
нашим,наш,pronoun,instrumental,singular,masculine,,,
нашим,наш,pronoun,instrumental,singular,neuter,,,
нашими,наш,pronoun,instrumental,plural,feminine,,,
нашими,наш,pronoun,instrumental,plural,masculine,,,
нашими,наш,pronoun,instrumental,plural,neuter,,,
наших,наш,pronoun,accusative,plural,feminine,,,
наших,наш,pronoun,accusative,plural,masculine,,,
наших,наш,pronoun,accusative,plural,neuter,,,
наших,наш,pronoun,genitive,plural,feminine,,,
наших,наш,pronoun,genitive,plural,masculine,,,
наших,наш,pronoun,genitive,plural,neuter,,,
наших,наш,pronoun,locative,plural,feminine,,,
наших,наш,pronoun,locative,plural,masculine,,,
наших,наш,pronoun,locative,plural,neuter,,,
наші,наш,pronoun,accusative,plural,feminine,,,
наші,наш,pronoun,accusative,plural,masculine,,,
наші,наш,pronoun,accusative,plural,neuter,,,
наші,наш,pronoun,nominative,plural,feminine,,,
наші,наш,pronoun,nominative,plural,masculine,,,
наші,наш,pronoun,nominative,plural,neuter,,,
нашій,наш,pronoun,dative,singular,feminine,,,
нашій,наш,pronoun,locative,singular,feminine,,,
нашім,наш,pronoun,locative,singular,masculine,,,
нашім,наш,pronoun,locative,singular,neuter,,,
нашого,наш,pronoun,accusative,singular,masculine,,,
нашого,наш,pronoun,genitive,singular,masculine,,,
нашого,наш,pronoun,genitive,singular,neuter,,,
нашої,наш,pronoun,genitive,singular,feminine,,,
нашому,наш,pronoun,dative,singular,masculine,,,
нашому,наш,pronoun,dative,singular,neuter,,,
нашому,наш,pronoun,locative,singular,masculine,,,
нашому,наш,pronoun,locative,singular,neuter,,,
нашою,наш,pronoun,instrumental,singular,feminine,,,
нашу,наш,pronoun,accusative,singular,feminine,,,
не,не,particle,,,,,,
незаконно,незаконно,adverb,,,,,,
незмінне,незмінний,adjective,nominative,singular,neuter,,,
ніхто,ніхто,pronoun,nominative,singular,masculine,,,
Нормандського,нормандський,adjective,accusative,singular,masculine,,,
Нормандського,нормандський,adjective,genitive,singular,masculine,,,
об’єктів,об’єкт,noun,genitive,plural,masculine,,,
обов’язково,обов’язково,adverb,,,,,,
обстрілів,обстріл,noun,genitive,plural,masculine,,,
окупованому,окупований,adjective,dative,singular,masculine,,,
окупованому,окупований,adjective,dative,singular,neuter,,,
окупованому,окупований,adjective,locative,singular,masculine,,,
окупованому,окупований,adjective,locative,singular,neuter,,,
Очікуємо,очікувати,verb,,plural,feminine,present,active,first
Очікуємо,очікувати,verb,,plural,masculine,present,active,first
Очікуємо,очікувати,verb,,plural,neuter,present,active,first
Павлополя,Павлополь,noun,genitive,singular,masculine,,,
переговорного,переговорний,adjective,genitive,singular,masculine,,,
перемир’я,перемир’я,noun,nominative,singular,feminine,,,
перемовин,перемовини,noun,accusative,plural,feminine,,,
питання,питання,noun,accusative,plural,neuter,,,
питання,питання,noun,accusative,singular,neuter,,,
питання,питання,noun,genitive,singular,neuter,,,
питання,питання,noun,nominative,plural,neuter,,,
питання,питання,noun,nominative,singular,neuter,,,
питання,питання,noun,vocative,plural,neuter,,,
питання,питання,noun,vocative,singular,neuter,,,
піднімала,піднімати,verb,,singular,feminine,past,active,third
підрив,підрив,noun,nominative,singular,masculine,,,
плануємо,планувати,verb,,plural,feminine,present,active,first
плануємо,планувати,verb,,plural,masculine,present,active,first
плануємо,планувати,verb,,plural,neuter,present,active,first
побачив,побачити,verb,,singular,masculine,past,active,third
Політика,політика,noun,nominative,singular,feminine,,,
політикою,політика,noun,instrumental,singular,feminine,,,
понад,понад,preposition,,,,,,
прагне,прагнути,verb,,singular,feminine,present,active,third
прагне,прагнути,verb,,singular,masculine,present,active,third
прагне,прагнути,verb,,singular,neuter,present,active,third
прагнення,прагнення,noun,nominative,singular,feminine,,,
працювати,працювати,verb,,singular,feminine,infinitive,active,third
працювати,працювати,verb,,singular,masculine,infinitive,active,third
працювати,працювати,verb,,singular,neuter,infinitive,active,third
припинимо,припинити,verb,,plural,masculine,future,active,first
Причорномор‘я,Причорномор‘я,noun,accusative,singular,neuter,,,
Причорномор‘я,Причорномор‘я,noun,genitive,singular,neuter,,,
Причорномор‘я,Причорномор‘я,noun,nominative,singular,neuter,,,
провести,провести,verb,,plural,masculine,infinitive,active,first
Просимо,просити,verb,,plural,masculine,present,active,first
протитанкового,протитанковий,adjective,genitive,singular,masculine,,,
процесу,процес,noun,genitive,singular,masculine,,,
Путіна,Путін,noun,accusative,singular,masculine,,,
Путіна,Путін,noun,genitive,singular,masculine,,,
ранок,ранок,noun,nominative,singular,masculine,,,
родинам,родина,noun,dative,plural,feminine,,,
років,рік,noun,genitive,plural,masculine,,,
Росії,Росія,noun,dative,singular,feminine,,,
Росії,Росія,noun,locative,singular,feminine,,,
ручного,ручний,adjective,genitive,singular,masculine,,,
сама,самий,pronoun,nominative,singular,feminine,,,
саме,самий,pronoun,accusative,singular,neuter,,,
Саме,самий,pronoun,accusative,singular,neuter,,,
саме,самий,pronoun,nominative,singular,neuter,,,
Саме,самий,pronoun,nominative,singular,neuter,,,
самий,самий,pronoun,accusative,singular,masculine,,,
самий,самий,pronoun,nominative,singular,masculine,,,
самим,самий,pronoun,dative,plural,masculine,,,
самим,самий,pronoun,instrumental,singular,masculine,,,
самим,самий,pronoun,instrumental,singular,neuter,,,
самими,самий,pronoun,instrumental,plural,masculine,,,
самих,самий,pronoun,accusative,plural,masculine,,,
самих,самий,pronoun,genitive,plural,masculine,,,
самих,самий,pronoun,locative,plural,masculine,,,
самі,самий,pronoun,accusative,plural,masculine,,,
самі,самий,pronoun,nominative,plural,masculine,,,
самій,самий,pronoun,dative,singular,feminine,,,
самій,самий,pronoun,locative,singular,feminine,,,
самім,самий,pronoun,locative,singular,masculine,,,
самім,самий,pronoun,locative,singular,neuter,,,
самого,самий,pronoun,accusative,singular,masculine,,,
самого,самий,pronoun,genitive,singular,masculine,,,
самого,самий,pronoun,genitive,singular,neuter,,,
самої,самий,pronoun,genitive,singular,feminine,,,
самому,самий,pronoun,dative,singular,masculine,,,
самому,самий,pronoun,dative,singular,neuter,,,
самому,самий,pronoun,locative,singular,masculine,,,
самому,самий,pronoun,locative,singular,neuter,,,
самою,самий,pronoun,instrumental,singular,feminine,,,
саму,самий,pronoun,accusative,singular,feminine,,,
світ,світ,noun,nominative,singular,masculine,,,
Слава,слава,noun,nominative,singular,feminine,,,
співчуття,співчуття,noun,accusative,plural,neuter,,,
співчуття,співчуття,noun,accusative,singular,neuter,,,
співчуття,співчуття,noun,genitive,singular,neuter,,,
співчуття,співчуття,noun,nominative,plural,neuter,,,
співчуття,співчуття,noun,nominative,singular,neuter,,,
співчуття,співчуття,noun,vocative,plural,neuter,,,
співчуття,співчуття,noun,vocative,singular,neuter,,,
спорт,спорт,noun,nominative,singular,masculine,,,
спрямований,спрямований,adjective,nominative,singular,masculine,,,
сторону,сторона,noun,accusative,singular,feminine,,,
сході,схід,noun,locative,singular,masculine,,,
Сьогодні,сьогодні,noun,nominative,singular,neuter,,,
Сьогоднішній,сьогоднішній,adjective,nominative,singular,masculine,,,
та,той,pronoun,nominative,singular,feminine,,,
також,також,adverb,,,,,,
те,той,pronoun,accusative,singular,neuter,,,
те,той,pronoun,nominative,singular,neuter,,,
тим,той,pronoun,dative,plural,masculine,,,
тим,той,pronoun,instrumental,singular,masculine,,,
тим,той,pronoun,instrumental,singular,neuter,,,
тими,той,pronoun,instrumental,plural,masculine,,,
тих,той,pronoun,accusative,plural,masculine,,,
тих,той,pronoun,genitive,plural,masculine,,,
тих,той,pronoun,locative,plural,masculine,,,
ті,той,pronoun,accusative,plural,masculine,,,
ті,той,pronoun,nominative,plural,masculine,,,
тієї,той,pronoun,genitive,singular,feminine,,,
тією,той,pronoun,instrumental,singular,feminine,,,
тій,той,pronoun,dative,singular,feminine,,,
тій,той,pronoun,locative,singular,feminine,,,
тільки,тільки,adverb,,,,,,
тім,той,pronoun,locative,singular,masculine,,,
тім,той,pronoun,locative,singular,neuter,,,
того,той,pronoun,accusative,singular,masculine,,,
того,той,pronoun,genitive,singular,masculine,,,
того,той,pronoun,genitive,singular,neuter,,,
тої,той,pronoun,genitive,singular,feminine,,,
той,той,pronoun,accusative,singular,masculine,,,
той,той,pronoun,nominative,singular,masculine,,,
тому,той,pronoun,dative,singular,masculine,,,
тому,той,pronoun,dative,singular,neuter,,,
тому,той,pronoun,locative,singular,masculine,,,
тому,той,pronoun,locative,singular,neuter,,,
тою,той,pronoun,instrumental,singular,feminine,,,
тривало,тривати,verb,,singular,neuter,past,active,third
ту,той,pronoun,accusative,singular,feminine,,,
турецьку,турецький,adjective,accusative,singular,feminine,,,
Туреччина,Туреччина,noun,nominative,singular,feminine,,,
у,у,preposition,,,,,,
У,у,preposition,,,,,,
Україна,Україна,noun,nominative,singular,feminine,,,
України,Україна,noun,genitive,singular,feminine,,,
Україні,Україна,noun,dative,singular,feminine,,,
Україні,Україна,noun,locative,singular,feminine,,,
українських,український,adjective,genitive,plural,masculine,,,
українську,український,adjective,accusative,singular,feminine,,,
усіх,увесь,pronoun,accusative,plural,feminine,,,
усіх,увесь,pronoun,accusative,plural,masculine,,,
усіх,увесь,pronoun,accusative,plural,neuter,,,
усіх,увесь,pronoun,genitive,plural,feminine,,,
усіх,увесь,pronoun,genitive,plural,masculine,,,
усіх,увесь,pronoun,genitive,plural,neuter,,,
усіх,увесь,pronoun,locative,plural,feminine,,,
усіх,увесь,pronoun,locative,plural,masculine,,,
усіх,увесь,pronoun,locative,plural,neuter,,,
утримується,утримуватися,verb,,singular,feminine,present,mediopassive,third
утримується,утримуватися,verb,,singular,masculine,present,mediopassive,third
утримується,утримуватися,verb,,singular,neuter,present,mediopassive,third
участь,участь,noun,accusative,singular,feminine,,,
участь,участь,noun,nominative,singular,feminine,,,
формату,формат,noun,dative,singular,masculine,,,
формату,формат,noun,genitive,singular,masculine,,,
Форумі,форум,noun,locative,singular,masculine,,,
Франківщина,Франківщина,noun,nominative,singular,feminine,,,
Хлібне,хлібний,adjective,nominative,singular,neuter,,,
хоче,хотіти,verb,,singular,feminine,present,active,third
хоче,хотіти,verb,,singular,masculine,present,active,third
хоче,хотіти,verb,,singular,neuter,present,active,third
хто,хто,pronoun,nominative,singular,masculine,,,
цілому,цілий,adjective,locative,singular,masculine,,,
цього,цей,adjective,genitive,singular,masculine,,,
Четверо,четверо,numeral,nominative,plural,masculine,,,
швидше,швидше,adverb,,,,,,
щирі,щирий,adjective,accusative,plural,feminine,,,
щирі,щирий,adjective,accusative,plural,masculine,,,
щирі,щирий,adjective,accusative,plural,neuter,,,
щирі,щирий,adjective,nominative,plural,feminine,,,
щирі,щирий,adjective,nominative,plural,masculine,,,
щирі,щирий,adjective,nominative,plural,neuter,,,
щиро,щиро,adverb,,,,,,
щоби,щоб,conjunction,,,,,,
щодо,щодо,preposition,,,,,,
я,я,pronoun,nominative,singular,feminine,,,
Я,я,pronoun,nominative,singular,feminine,,,
я,я,pronoun,nominative,singular,masculine,,,
Я,я,pronoun,nominative,singular,masculine,,,
я,я,pronoun,nominative,singular,neuter,,,
Я,я,pronoun,nominative,singular,neuter,,,
який,який,pronoun,accusative,singular,masculine,,,
який,який,pronoun,nominative,singular,masculine,,,
якомога,якомога,adverb,,,,,,
інфраструктуру,інфраструктура,noun,accusative,singular,feminine,,,
щонайменше,щонайменше,adverb,,,,,,
млрд,мільярд,numeral,nominative,singular,masculine,,,
млрд,мільярд,numeral,genitive,plural,masculine,,,
аби,аби,conjunction,,,,,,
привести,привести,verb,,plural,masculine,infinitive,active,first
ладу,лад,noun,genitive,singular,masculine,,,
ладу,лад,noun,dative,singular,masculine,,,
тис,тисяча,numeral,nominative,singular,feminine,,,
тис,тисяча,numeral,nominative,plural,feminine,,,
тис,тис,noun,nominative,singular,masculine,,,
тис,тис,noun,accusative,singular,masculine,,,
км,кілометр,noun,accusative,plural,masculine,,,
доріг,дорога,noun,genitive,plural,feminine,,,
збільшити,збільшити,verb,,plural,masculine,infinitive,active,first
кількість,кількість,noun,nominative,singular,feminine,,,
кількість,кількість,noun,accusative,singular,feminine,,,
реально,реально,adverb,,,,,,
працюючих,працюючий,adjective,genitive,plural,masculine,,,
працюючих,працюючий,adjective,genitive,plural,feminine,,,
працюючих,працюючий,adjective,genitive,plural,neuter,,,
працюючих,працюючий,adjective,accusative,plural,masculine,,,
працюючих,працюючий,adjective,accusative,plural,feminine,,,
працюючих,працюючий,adjective,accusative,plural,neuter,,,
працюючих,працюючий,adjective,locative,plural,masculine,,,
працюючих,працюючий,adjective,locative,plural,feminine,,,
працюючих,працюючий,adjective,locative,plural,neuter,,,
працюючих,працюючий,noun,genitive,plural,masculine,,,
працюючих,працюючий,noun,accusative,plural,masculine,,,
працюючих,працюючий,noun,locative,plural,masculine,,,
аеропортів,аеропорт,noun,genitive,plural,masculine,,,
забезпечити,забезпечити,verb,,plural,masculine,infinitive,active,first
розвиток,розвиток,noun,accusative,singular,masculine,,,
розвиток,розвиток,noun,nominative,singular,masculine,,,
морських,морський,adjective,genitive,plural,masculine,,,
морських,морський,adjective,accusative,plural,masculine,,,
морських,морський,adjective,locative,plural,masculine,,,
морських,морський,adjective,genitive,plural,feminine,,,
морських,морський,adjective,genitive,plural,neuter,,,
морських,морський,adjective,accusative,plural,feminine,,,
морських,морський,adjective,accusative,plural,neuter,,,
морських,морський,adjective,locative,plural,feminine,,,
морських,морський,adjective,locative,plural,neuter,,,
